Gloss,Prediction,Target
[STATEMENT] 지하철 문 틈 물건 떨어지다,선로에 틈이 생기면서 떨어졌어요.,지하철 틈 사이로 물건이 떨어졌습니다.
[STATEMENT] 미리 카드,미리 카드해 두세요.,선승인하겠습니다.
[QUESTION] 미리 카드,미리 카드 카드를 준비하셨나요?,선승인하시겠습니까?
[STATEMENT] 고속 지하철 9호 갈아타다,고속버에서 9호선으로 갈아타려고.,고속터미널에서 9호선으로 갈아타려고 합니다.
[QUESTION] 물건 잃어버리다 보관 곳곳,유실물 센터는 어디에 있습니까?요?,"""물건을 잃어버렸는데, 분실물은 어디서 찾나요?"""
[STATEMENT] 지하철 안 에어컨 냄새,지하철 안에 에어컨 좀 켜주세요.,객실 에어콘에서 불쾌한 냄새가 납니다.
[STATEMENT] 불편하다 있다 신고,불편하다 신고해주세요.,불편한 점이 있으시면 민원을 넣으세요.
[STATEMENT] 여기 맞다,여기서 내려주세요.,여기가 맞습니다.
[STATEMENT] 1호 갈아타다,1호선으로 환승하려고 합니다.,1호선으로 갈아타세요.
[QUESTION] 1호 갈아타다,1호선 환승하는 곳이 어디인가요?,1호선으로 갈아타세요?
[STATEMENT] 트렁크열다 물건 나르다,트렁크 좀 닫아주세요.,트렁크에 짐 넣는 것 좀 도와주세요.
[QUESTION] 트렁크열다 물건 나르다,트렁크 좀 닫아드릴까요?,트렁크에 짐 넣는 것 좀 도와드릴까요?
[QUESTION] 물건 잃어버리다 찾다 방법,분실물을 확인할 수 있을까요?,"""물건을 잃어버렸는데, 분실물은 어디서 찾나요?"""
[STATEMENT] 여기 맞다,여기서 내려주세요.,여기서 내려주세요.
[STATEMENT] 여기 맞다,여기서 내려주세요.,여기서 내려주세요.
[QUESTION] 화장실 곳,화장실은 어디에 있습니까?,화장실이 어디에 있나요?
[STATEMENT] 물품보관 고장,물품보관함이 안되네요.,물품보관함이 안되네요.
[STATEMENT] 물품보관 문안열리다 안되다,물품보관함이 안되네요.,물품보관함이 안되네요.
[STATEMENT] 물품보관 문안열리다 불량,물품보관함이 안되네요.,물품보관함이 안되네요.
[STATEMENT] 단말기터치 다시,카드를 다시 대세요.,카드를 다시 대세요.
[STATEMENT] 단말기터치 다시,카드를 다시 대세요.,카드를 다시 대세요.
[STATEMENT] 단말기터치 다시,카드를 다시 대세요.,카드를 다시 대세요.
[STATEMENT] 차 트렁크열다,트렁크 좀 열어주세요.,트렁크 좀 열어주세요.
[STATEMENT] 유리 올리다,창문 좀 닫겠습니다.,창문 좀 닫겠습니다.
[STATEMENT] 유리 올리다,창문 좀 닫겠습니다.,창문 좀 닫겠습니다.
[QUESTION] 유리 올리다,창문을 닫아드릴까요?,창문을 닫아드릴까요?
[QUESTION] 유리 올리다,창문을 닫아드릴까요?,창문을 닫아드릴까요?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 해드릴까요?
[STATEMENT] 나사렛 차내리다,나사렛대학교 못가서 내려주.,나사렛대학교로 가주세요.
[STATEMENT] 나사렛 차내리다,나사렛대학교 못가서 내려주.,나사렛대학교로 가주세요.
[STATEMENT] 응급실 목적,응급실로 가주세요.,응급실로 가주세요.
[STATEMENT] 서울역 가다 차내리다,서울역으로 가주세요.,서울역으로 가주세요.
[STATEMENT] 고속터미널 가다 내리다,고속버스터미널로 가주세요.,고속버스터미널로 가주세요.
[STATEMENT] 고속터미널 가다 내리다,고속버스터미널로 가주세요.,고속버스터미널로 가주세요.
[QUESTION] 손바닥찍다 곳 가다,이 주소로 갈까요?,이 주소로 갈까요?
[QUESTION] 공항 내리다 가다,김포공항으로 갈까요?,김포공항으로 갈까요?
[QUESTION] 공항 내리다 가다,김포공항으로 갈까요?,김포공항으로 갈까요?
[QUESTION] 공항 도착 가다,김포공항으로 갈까요?,김포공항으로 갈까요?
[QUESTION] 나사렛 가다 내리다,나사렛대학교에서 내려드릴까요?,나사렛대학교로 갈까요?
[QUESTION] 나사렛 가다 내리다,나사렛대학교에서 내려드릴까요?,나사렛대학교로 갈까요?
[STATEMENT] 샛길 가다,골목으로 들어가주세요.,골목으로 들어가주세요.
[STATEMENT] 샛길 곳,골목으로 들어가주세요.,골목으로 들어가주세요.
[STATEMENT] 샛길 가다,골목으로 들어가주세요.,골목으로 들어가주세요.
[STATEMENT] 샛길 가다,골목으로 들어가주세요.,골목으로 들어가주세요.
[STATEMENT] 아파트 가다,아파트 단지 안으로 가주세요.,아파트 단지 안으로 가주세요.
[STATEMENT] 아파트 가다,아파트 단지 안으로 가주세요.,아파트 단지 안으로 가주세요.
[QUESTION] 샛길 곳,골목으로 들어갈까요?,골목으로 들어갈까요?
[QUESTION] 샛길 여기 가다,골목으로 들어갈까요?,골목으로 들어갈까요?
[STATEMENT] 나사렛 전 저기,나사렛대학교 못가서 내려주.,나사렛대학교 못가서 내려주세요.
[STATEMENT] 기차 곳 내리다 맞다,기차역에서 내려주세요.,기차역에서 내려주세요.
[STATEMENT] 기차 곳 내리다 맞다,기차역에서 내려주세요.,기차역에서 내려주세요.
[STATEMENT] 기차 곳 내리다 맞다,기차역에서 내려주세요.,기차역에서 내려주세요.
[STATEMENT] 기차 곳 내리다 맞다,기차역에서 내려주세요.,기차역에서 내려주세요.
[STATEMENT] 건너다 차두다,건너편에서 내려주세요.,건너편에서 내려주세요.
[STATEMENT] 건너다 내리다 오케이,건너편에서 내려주세요.,건너편에서 내려주세요.
[STATEMENT] 건너다 내리다 오케이,건너편에서 내려주세요.,건너편에서 내려주세요.
[STATEMENT] 시청,시청으로 가주세요.,시청으로 가주세요.
[STATEMENT] 시청 내리다,시청으로 가주세요.,시청으로 가주세요.
[STATEMENT] 시청 내리다,시청으로 가주세요.,시청으로 가주세요.
[STATEMENT] 시청 차두다,시청으로 가주세요.,시청으로 가주세요.
[QUESTION] 여기 맞다,여기서 내려드릴까요?,여기서 내려드릴까요?
[QUESTION] 여기 맞다,여기서 내려드릴까요?,여기서 내려드릴까요?
[QUESTION] 기차 곳 내리다 맞다,기차역에서 내려드릴까요?,기차역에서 내려드릴까요?
[QUESTION] 기차 곳 내리다 맞다,기차역에서 내려드릴까요?,기차역에서 내려드릴까요?
[QUESTION] 기차 곳 내리다 맞다,기차역에서 내려드릴까요?,기차역에서 내려드릴까요?
[QUESTION] 기차 곳 내리다 맞다,기차역에서 내려드릴까요?,기차역에서 내려드릴까요?
[QUESTION] 건너다 차두다,건너편에서 내려드릴까요?,건너편에서 내려드릴까요?
[QUESTION] 건너다 내리다 오케이,건너편에서 내려드릴까요?,건너편에서 내려드릴까요?
[QUESTION] 건너다 내리다 오케이,건너편에서 내려드릴까요?,건너편에서 내려드릴까요?
[QUESTION] 시청,시청에서 내려드릴까요?,시청에서 내려드릴까요?
[QUESTION] 시청 내리다,시청에서 내려드릴까요?,시청에서 내려드릴까요?
[QUESTION] 시청 내리다,시청에서 내려드릴까요?,시청에서 내려드릴까요?
[QUESTION] 시청 차두다,시청을 내려드릴까요?,시청에서 내려드릴까요?
[QUESTION] 나사렛 차내리다,나사렛대학교에서 내려드릴까요?,나사렛대학교에서 내려드릴까요?
[QUESTION] 나사렛 차내리다,나사렛대학교에서 내려드릴까요?,나사렛대학교에서 내려드릴까요?
[STATEMENT] 차 엉덩이 트렁크열다,트렁크 좀 열어주세요.,트렁크 좀 열어주세요.
[QUESTION] 차 트렁크열다,트렁크 좀 열어드릴까요?,트렁크 좀 열어드릴까요?
[QUESTION] 차 엉덩이 트렁크열다,트렁크 좀 열어드릴까요?,트렁크 좀 열어드릴까요?
[QUESTION] 한국농아인협회 내리다 오케이,한국농아인협회에서 내려드릴까?,한국농아인협회에서 내려드릴까요?
[QUESTION] 한국농아인협회 내리다 오케이,한국농아인협회에서 내려드릴까?,한국농아인협회에서 내려드릴까요?
[QUESTION] 서대문농아인복지관 내리다,서대문농아인복지관에서 내려드릴?,서대문농아인복지관에서 내려드릴까요?
[QUESTION] 서대문농아인복지관 내리다,서대문농아인복지관에서 내려드릴?,서대문농아인복지관에서 내려드릴까요?
[QUESTION] 서대문농아인복지관 오케이,서대문농아인복지관에서 내려드릴?,서대문농아인복지관에서 내려드릴까요?
[QUESTION] 서대문농아인복지관 가다,서대문농아인복지관으로 가려면?,서대문농아인복지관에서 내려드릴까요?
[STATEMENT] 한국농아인협회 목적,한국농아인협회로 가주세요.,한국농아인협회로 가주세요.
[STATEMENT] 서울농아인협회 곳,서울농아인협회로 가주세요.,서울농아인협회로 가주세요.
[STATEMENT] 서대문농아인복지관 가다,서대문농아인복지관으로 가주.,서대문농아인복지관으로 가주세요.
[STATEMENT] 서대문농아인복지관 가다,서대문농아인복지관으로 가주.,서대문농아인복지관으로 가주세요.
[STATEMENT] 서대문농아인복지관 내리다,서대문농아인복지관으로 가주.,서대문농아인복지관으로 가주세요.
[STATEMENT] 서대문농아인복지관 내리다,서대문농아인복지관으로 가주.,서대문농아인복지관으로 가주세요.
[STATEMENT] 서대문농아인복지관 목적,서대문농아인복지관으로 가주.,서대문농아인복지관으로 가주세요.
[STATEMENT] 서대문농아인복지관 가다,서대문농아인복지관으로 가주.,서대문농아인복지관으로 가주세요.
[QUESTION] 청음회관 오케이,청음회관에서 내려드릴까요?,청음회관에서 내려드릴까요?
[QUESTION] 편의점 곳 무엇,편의점은 어디에 있나요?,편의점은 어디에 있나요?
[QUESTION] 계단 곳,계단은 어디에 있나요?,계단은 어디에 있나요?
[QUESTION] 계단 무엇 곳,계단은 어디에 있나요?,계단은 어디에 있나요?
[STATEMENT] 물품보관 불량 죽다,물품보관함이 안되네요.,물품보관함이 안되네요.
[STATEMENT] 단말기터치 사용 불가능 고장,카드 인식이 안되네요.,카드 인식이 안되네요.
[STATEMENT] 단말기터치 고장 사용 안되다,카드 인식이 안되네요.,카드 인식이 안되네요.
[STATEMENT] 에어컨 사용 불가능 고장,에어컨이 안되네요.,에어컨이 안되네요.
[STATEMENT] 에어컨 고장 사용 안되다,에어컨이 안되네요.,에어컨이 안되네요.
[QUESTION] 물품보관 고장,물품보관함이 안되나요?,물품보관함이 안되나요?
[QUESTION] 물품보관 불량 죽다,물품보관함이 안되나요?,물품보관함이 안되나요?
[QUESTION] 에어컨 사용 불가능 고장,에어컨이 안되나요?,에어컨이 안되나요?
[QUESTION] 에어컨 고장 사용 안되다,에어컨이 안되나요?,에어컨이 안되나요?
[STATEMENT] 공항 버스 전 곳 보다 도착 내리다,공항버스정류장 못가서 내려.,공항버스정류장 못가서 내려주세요.
[STATEMENT] 공항 버스 전 곳 보다 도착 내리다,공항버스정류장 못가서 내려.,공항버스정류장 못가서 내려주세요.
[STATEMENT] 공항 버스 전 곳 보다 도착 차내리다,공항버스정류장 못가서 내려.,공항버스정류장 못가서 내려주세요.
[STATEMENT] 공항 버스 전 곳 보다 도착 차내리다,공항버스정류장 못가서 내려.,공항버스정류장 못가서 내려주세요.
[STATEMENT] 버스 곳 전 보다 도착 내리다,버스정류장 못가서 내려주.,버스정류장 못가서 내려주세요.
[STATEMENT] 버스 곳 전 보다 도착 내리다,버스정류장 못가서 내려주.,버스정류장 못가서 내려주세요.
[STATEMENT] 스타벅스 곳 저기 전,스타벅스 못가서 내려주세요.,스타벅스 못가서 내려주세요.
[STATEMENT] 스타벅스 전 곳 내리다,스타벅스 못가서 내려주세요.,스타벅스 못가서 내려주세요.
[STATEMENT] 스타벅스 전 곳 내리다,스타벅스 못가서 내려주세요.,스타벅스 못가서 내려주세요.
[STATEMENT] 맥도날드 보다 다음 곳 차내리다,맥도날드 지나서 내려주세요.,맥도날드 지나서 내려주세요.
[STATEMENT] 맥도날드 보다 다음 곳 차내리다,맥도날드 지나서 내려주세요.,맥도날드 지나서 내려주세요.
[STATEMENT] 이마트 곳 저기 다음 도착 내리다,이마트 지나서 내려주세요.,이마트 지나서 내려주세요.
[STATEMENT] 이마트 곳 저기 다음 도착 내리다,이마트 지나서 내려주세요.,이마트 지나서 내려주세요.
[STATEMENT] 우산 잃어버리다,우산을 분실하였습니다.,우산을 잃어버렸습니다.
[STATEMENT] 이마트 다음 곳 도착 내리다,이마트 지나서 내려주세요.,이마트 지나서 내려주세요.
[STATEMENT] 이마트 다음 곳 도착 내리다,이마트 지나서 내려주세요.,이마트 지나서 내려주세요.
[STATEMENT] 파리바게트 다음 곳 저기,파리바게트 지나서 내려주세요.,파리바게트 지나서 내려주세요.
[STATEMENT] 파리바게트 다음 저기 도착 차내리다,파리바게트 지나서 내려주세요.,파리바게트 지나서 내려주세요.
[STATEMENT] 파리바게트 다음 저기 도착 차내리다,파리바게트 지나서 내려주세요.,파리바게트 지나서 내려주세요.
[QUESTION] 서울대학교 찾다 가다 길 가다 방법,서울대학교 방향으로 가려면 어떻게 가나요?,서울대학교 방향으로 가려면 어떻게 가나요?
[QUESTION] 송파 지하철 가다 방법,송파역으로 가려면 어떻게 가나요?,송파역으로 가려면 어떻게 가나요?
[QUESTION] 송파 지하철 찾다 방법 무엇,송파역으로 가려면 어떻게 가나요?,송파역으로 가려면 어떻게 가나요?
[QUESTION] 송파 지하철 찾다 목적 무엇,송파역으로 가려면 어떻게 가나요?,송파역으로 가려면 어떻게 가나요?
[QUESTION] 여의도 길 방법,여의도로 가려면 어떻게 가나요?,여의도로 가려면 어떻게 가나요?
[QUESTION] 여의도 가다 원하다 방법,여의도로 가려면 어떻게 가나요?,여의도로 가려면 어떻게 가나요?
[QUESTION] 여의도 무엇,여의도로 가려면 어떻게 가나요?,여의도로 가려면 어떻게 가나요?
[QUESTION] 여의도 방법 무엇,여의도로 가려면 어떻게 가나요?,여의도로 가려면 어떻게 가나요?
[QUESTION] 여의도 길 방법,여의도로 가려면 어떻게 가나요?,여의도로 가려면 어떻게 가나요?
[QUESTION] 종로 찾다 가다 방법,종로로 가려면 어떻게 가나요?,종로로 가려면 어떻게 가나요?
[QUESTION] 종로 목적 가다 길 방법,종로로 가려면 어떻게 가나요?,종로로 가려면 어떻게 가나요?
[STATEMENT] 지하철 곳 다음 도착 차내리다,지하철역 지나서 내려주세요.,지하철역 지나서 내려주세요.
[STATEMENT] 지하철 곳 다음 도착 차내리다,지하철역 지나서 내려주세요.,지하철역 지나서 내려주세요.
[STATEMENT] 군청 곳 다음 도착 내리다,동사무소 지나서 내려주세요.,동사무소 지나서 내려주세요.
[STATEMENT] 군청 곳 다음 도착 내리다,동사무소 지나서 내려주세요.,동사무소 지나서 내려주세요.
[STATEMENT] 병원 저기 다음 곳,병원 지나서 내려주세요.,병원 지나서 내려주세요.
[STATEMENT] 버스 곳 다음 차내리다,버스정류장 지나서 내려주세요.,버스정류장 지나서 내려주세요.
[STATEMENT] 버스 곳 다음 차내리다,버스정류장 지나서 내려주세요.,버스정류장 지나서 내려주세요.
[STATEMENT] 119 곳 다음 여기,소방서 지나서 내려주세요.,소방서 지나서 내려주세요.
[STATEMENT] 사거리 다음 내리다,사거리 지나서 내려주세요.,사거리 지나서 내려주세요.
[STATEMENT] 사거리 다음 내리다,사거리 지나서 내려주세요.,사거리 지나서 내려주세요.
[STATEMENT] 보건소 곳 다음 내리다,보건소 지나서 내려주세요.,보건소 지나서 내려주세요.
[STATEMENT] 보건소 곳 다음 내리다,보건소 지나서 내려주세요.,보건소 지나서 내려주세요.
[STATEMENT] 경찰 저기 곳 다음 도착 차내리다,경찰서 지나서 내려주세요.,경찰서 지나서 내려주세요.
[STATEMENT] 경찰 저기 곳 다음 도착 차내리다,경찰서 지나서 내려주세요.,경찰서 지나서 내려주세요.
[QUESTION] 지하철 곳 다음 도착 차내리다,지하철역 지나서 내려드릴까요?,지하철역 지나서 내려드릴까요?
[QUESTION] 지하철 곳 다음 도착 차내리다,지하철역 지나서 내려드릴까요?,지하철역 지나서 내려드릴까요?
[QUESTION] 군청 곳 다음 도착 내리다,주민센터 지나서 내려드릴까요?,주민센터 지나서 내려드릴까요?
[QUESTION] 군청 곳 다음 도착 내리다,주민센터 지나서 내려드릴까요?,주민센터 지나서 내려드릴까요?
[QUESTION] 병원 저기 다음 곳,병원 지나서 내려드릴까요?,병원 지나서 내려드릴까요?
[QUESTION] 버스 곳 다음 차내리다,버스정류장 지나서 내려드릴까?,버스정류장 지나서 내려드릴까요?
[QUESTION] 버스 곳 다음 차내리다,버스정류장 지나서 내려드릴까?,버스정류장 지나서 내려드릴까요?
[QUESTION] 119 곳 다음 여기,소방서 지나서 내려드릴까요?,소방서 지나서 내려드릴까요?
[QUESTION] 사거리 다음 내리다,사거리 지나서 내려드릴까요?,사거리 지나서 내려드릴까요?
[QUESTION] 사거리 다음 내리다,사거리 지나서 내려드릴까요?,사거리 지나서 내려드릴까요?
[QUESTION] 보건소 곳 다음 내리다,보건소 지나서 내려드릴까요?,보건소 지나서 내려드릴까요?
[QUESTION] 보건소 곳 다음 내리다,보건소 지나서 내려드릴까요?,보건소 지나서 내려드릴까요?
[QUESTION] 경찰 저기 곳 다음 도착 차내리다,경찰서 지나서 내려드릴까요?,경찰서 지나서 내려드릴까요?
[QUESTION] 경찰 저기 곳 다음 도착 차내리다,경찰서 지나서 내려드릴까요?,경찰서 지나서 내려드릴까요?
[QUESTION] 가방 잃어버리다,가방을 분실하셨나요?,가방을 분실하셨나요?
[QUESTION] 가방 없다 실종,가방을 분실하셨나요?,가방을 분실하셨나요?
[QUESTION] 가방 사라지다 실종,가방을 분실하셨나요?,가방을 분실하셨나요?
[QUESTION] 아이 잃어버리다,아이를 잃어버리셨나요?,아이를 잃어버리셨나요?
[QUESTION] 우산 잃어버리다,우산을 잃어버리셨나요?,우산을 잃어버리셨나요?
[QUESTION] 우산 실종,우산을 분실하셨나요?,우산을 잃어버리셨나요?
[QUESTION] 지갑 잃어버리다 실종,지갑을 분실하셨나요?,지갑을 분실하셨나요?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[QUESTION] 우회전 확인 맞다,우회전 해드릴까요?,우회전 맞으시죠?
[STATEMENT] 우회전 맞다,우회전이하고 내려주세요.,우회전이 맞습니다.
[STATEMENT] 우회전 맞다,우회전이하고 내려주세요.,우회전이 맞습니다.
[STATEMENT] 우회전 맞다,우회전이하고 내려주세요.,우회전이 맞습니다.
[STATEMENT] 우회전 맞다,우회전이하고 내려주세요.,우회전이 맞습니다.
[STATEMENT] 우회전 확인 맞다,우회전이 해드릴까요.,우회전이 맞습니다.
[STATEMENT] 우회전 확인 맞다,우회전이 해드릴까요.,우회전이 맞습니다.
[STATEMENT] 우회전 확인 맞다,우회전이 해드릴까요.,우회전이 맞습니다.
[STATEMENT] 우회전 확인 맞다,우회전이 해드릴까요.,우회전이 맞습니다.
[STATEMENT] 우산 실종,우산을 분실하였습니다.,우산을 분실하였습니다.
[STATEMENT] 가방 잃어버리다,가방을 잃어버렸습니다.,가방을 잃어버렸습니다.
[STATEMENT] 가방 없다 실종,가방을 잃어버렸습니다.,가방을 잃어버렸습니다.
[STATEMENT] 가방 사라지다 실종,가방을 잃어버렸습니다.,가방을 잃어버렸습니다.
[STATEMENT] 아이 잃어버리다,아이를 잃어버렸습니다.,아이를 잃어버렸습니다.
[STATEMENT] 지갑 잃어버리다 실종,지갑을 잃어버렸습니다.,지갑을 잃어버렸습니다.
[QUESTION] 차밀리다,차가 막리셨나요?,차가 막히나요?
[STATEMENT] 차밀리다,차가 막힙니다.,차가 막힙니다.
[QUESTION] 영수증 원하다,영수증을 원하시나요?,영수증 필요하세요?
[QUESTION] 영수증 원하다,영수증을 원하시나요?,영수증 필요하세요?
[STATEMENT] 반지 사라지다 실종,반지를 분실하였습니다.,반지를 분실하였습니다.
[STATEMENT] 반지 실종 잃어버리다,반지를 분실하였습니다.,반지를 분실하였습니다.
[STATEMENT] 보청기 실종,보청기를 잃어버렸습니다.,보청기를 잃어버렸습니다.
[QUESTION] 화장실 곳,화장실은 어디에 있습니까?,화장실은 어디에 있습니까?
[QUESTION] 은행 어디,은행은 어디에 있습니까?,은행은 어디에 있습니까?
[QUESTION] 먹다 어디,식당은 어디에 있습니까?,식당은 어디에 있습니까?
[QUESTION] 핸드폰 충전 곳,휴대폰을 충전할 수 있는 곳이 어디입?,휴대폰을 충전할 수 있는 곳이 어디입니까?
[QUESTION] 한국 안 착륙 곳 어디,국내선 입국장이 어디에 있습니까?,국내선 입국장이 어디에 있습니까?
[QUESTION] 담배 곳 어디,흡연실은 어디에 있습니까?,흡연실은 어디에 있습니까?
[QUESTION] 표 직접 누르다 곳 어디,셀프체크인은 어디서 가능한가요?,셀프체크인은 어디서 가능한가요?
[QUESTION] 짐 무게 초과 추가 돈주다 어디 곳,수하물 추가요금은 어디서 내나?,수하물 추가요금은 어디서 내나요?
[QUESTION] 다르다 나라 인터넷 신청 어디,로밍센터는 어디에 있습니까?,로밍센터는 어디에 있습니까?
[QUESTION] 서울 버스 곳 어디,서울 시내로 가는 버스 승강장은 어디에?,서울 시내로 가는 버스 승강장은 어디에 있습니까?
[QUESTION] 차 빌리다 곳,렌트카를 빌리는 곳은 어디에 있습니까?,렌트카를 빌리는 곳은 어디에 있습니까?
[QUESTION] 아기 젖병 곳 어디,유아 수유실은 어디에 있습니까?요?,유아 수유실은 어디에 있습니까?
[QUESTION] 아기 젖병 곳,유아 수유실은 어디에 있습니까?요?,유아 수유실은 어디에 있습니까?
[QUESTION] 편지 어디 곳,우체국은 어디에 있습니까?,우체국은 어디에 있습니까?
[QUESTION] 편지 곳 어디,우체국은 어디에 있습니까?,우체국은 어디에 있습니까?
[QUESTION] 항공 짐 검사 두다 어디,수하물보관소가 어디에 있습니까?,수하물보관소가 어디에 있습니까?
[QUESTION] 커피 곳 어디,커피숍은 어디에 있습니까?요?,커피숍은 어디에 있습니까?
[QUESTION] 커피 어디,커피숍은 어디에 있습니까?요?,커피숍은 어디에 있습니까?
[QUESTION] 수레 빌리다 곳 어디,휠체어 대여소가 어디에 있습니까?,휠체어 대여소가 어디에 있습니까?
[QUESTION] 휠체어 빌리다 어디,휠체어 대여소가 어디에 있습니까?,휠체어 대여소가 어디에 있습니까?
[QUESTION] 여행 정보 묻다 곳 어디,관광안내소는 어디에 있습니까?,관광안내소는 어디에 있습니까?
[QUESTION] 중국 먹다 어디 곳,중식집이 어디에 있습니까?,중식집이 어디에 있습니까?
[QUESTION] 호텔 항공 가깝다 어디,공항 주변에 호텔은 어디에 있습니까?,공항 주변에 호텔은 어디있나요?
[QUESTION] 세금 되돌리다 돈받다 곳 어디,세금환급tax ref?,세금환급tax refund 을 어디서 받나요?
[QUESTION] 세금 되돌리다 돈받다 어디,세금환급tax ref?,세금환급tax refund 을 어디서 받나요?
[QUESTION] 와이파이1 빌리다 어디,와이파이를 어디에서 빌릴 수 있?,와이파이를 어디에서 빌릴 수 있습니까?
[QUESTION] 지방 버스 곳 어디,시외버스 승강장은 어디에 있습니까?,시외버스 승강장은 어디에 있습니까?
[QUESTION] 서울 기차 장소 가다 방법,서울 기 방향으로 가려면 어떻게 가나요?,서울역까지 어떻게 가나요?
