dataset,video_num,question_w_q_morph,question,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
KETI-Emergency,,,FALSE,스키 넘어지다 서다 불가능,스키를 타다가 넘어져서 못 일어나겠어요.
KETI-Emergency,,,FALSE,폭발,폭탄이 터졌어요.
KETI-Emergency,,,FALSE,벌 크다 침 팔 주사,말벌에게 쏘였어요.
KETI-Emergency,,,FALSE,해파리 팔 주사,해파리에게 쏘였어요.
KETI-Emergency,,,FALSE,독 버섯 먹다 같다,독버섯을 먹은 것 같아요.
KETI-Emergency,,,FALSE,엄지손가락 자르다,신체부위가 절단됐어요.
KETI-Emergency,,,FALSE,바다 배 길 실종,바다에서 조난을 당했어요.
KETI-Emergency,,,FALSE,누가 벼락 엄지손가락,어떤 사람이 벼락을 맞았어요.
KETI-Emergency,,,FALSE,문 몸 끼다,문에 몸이 끼었어요.
KETI-Emergency,,,FALSE,가스 고장 흐르다,가스가 새고 있는 것 같아요.
KETI-Emergency,,,FALSE,전기 기둥 줄 끊어지다,고압선이 끊어져 있어요.
KETI-Emergency,,,FALSE,숨 안되다,숨이 안 쉬어져요.
KETI-Emergency,,,FALSE,몸 손묶다 갇히다,몸이 결박 당해있어요.
KETI-Emergency,,,FALSE,누가 나 죽이다,어떤 사람이 저를 죽이려고 해요.
KETI-Emergency,,,FALSE,돕다 부탁,도와주세요!
KETI-Emergency,,,FALSE,산 동물 만나다 공격,산에서 야생동물을 만났어요. 저를 공격할 것 같아요.
KETI-Emergency,,,FALSE,나 집 불,우리 집에 불이 났어요.
KETI-Emergency,,,FALSE,위 집 불,윗집에 불이 났어요.
KETI-Emergency,,,FALSE,이웃 집 불,옆집에 불이 났어요.
KETI-Emergency,,,FALSE,아래 집 불,아랫집에 불이 났어요.
KETI-Emergency,,,FALSE,가스 고장 흐르다,가스가 새고 있어요.
KETI-Emergency,,,FALSE,전지 몸 자극,감전 사고가 났어요.
KETI-Emergency,,,FALSE,집 낯선 넘어오다,집에 모르는 사람이 침입했어요.
KETI-Emergency,,,FALSE,강도 넘어오다 아마,강도가 들어온것 같아요.
KETI-Emergency,,,FALSE,아기 낳다 오다,아기를 낳을것 같아요.
KETI-Emergency,,,FALSE,아기 갑자기 토하다,아기가 갑자기 토해요.
KETI-Emergency,,,FALSE,아기 숨 힘들다,아기가 숨을 안 쉬어요.
KETI-Emergency,,,FALSE,아이 놀다 곳 실종,아이를 공원에서 잃어버렸어요.
KETI-Emergency,,,FALSE,낯선 아기 데리다,아이를 모르는 사람이 데려갔어요.
KETI-Emergency,,,FALSE,아기 독 약 삼키다,아이가 독극물을 삼켰어요.
KETI-Emergency,,,FALSE,아기 장남감 삼키다,아이가 장난감을 삼켰어요.
KETI-Emergency,,,FALSE,배 아프다,복통이 심해요
KETI-Emergency,,,FALSE,아프다 참다 불가능,아파서 못 참을것 같아요.
KETI-Emergency,,,FALSE,빨리 돕다 부탁,빨리 도와주세요.
KETI-Emergency,,,FALSE,아기 방 갇히다,아이가 방에 갇혔어요.
KETI-Emergency,,,FALSE,저 방 갇히다,내가 방에 갇혔어요.
KETI-Emergency,,,FALSE,집 흔들리다,집이 흔들려요.
KETI-Emergency,,,FALSE,집 벽 넘어지다,집 벽이 무너질려고 해요.
KETI-Emergency,,,FALSE,유리 고장 발 밟다 발바닥 상처,유리가 깨져서 발을 다쳤어요.
KETI-Emergency,,,FALSE,남편 높다 추락 머리 피흐르다,남편이 높은데서 떨어져서 머리에서 피나요.
KETI-Emergency,,,FALSE,사람 물건 무겁다 깔리다,사람이 무거운 물건에 깔렸어요.
KETI-Emergency,,,FALSE,몸 병 뜨겁다 머리 진통,몸에 열이 많이 나고 두통이 심해요.
KETI-Emergency,,,FALSE,나이 병원 예약 부탁,세브란스 병원 진료 예약을 해주세요.
KETI-Emergency,,,FALSE,아기 갑자기 머리 우산,우리아이가 갑자기 의식을 잃었어요.
KETI-Emergency,,,FALSE,119 구하다 급하다 부르다 부탁,119 구조대를 불러주세요.
KETI-Emergency,,,FALSE,어지럽다 서다 불가능 돌아서다,어지러워서 서있을 수 없어요.
KETI-Emergency,,,FALSE,밖 불 119 부르다 부탁,밖에 불이 났어요. 소방차를 불러주세요.
KETI-Emergency,,,FALSE,낯선 밖다 걷다,밖에 모르는 사람이 서성거려요.
KETI-Emergency,,,FALSE,112 신고 부탁,112에 신고해주세요.
KETI-Emergency,,,FALSE,밖 싸움 경찰 부르다 부탁,밖에 싸움이 났어요. 경찰을 불러주세요.
KETI-Emergency,,,FALSE,아내 쓰러지다,아내가 쓰러졌어요.
KETI-Emergency,,,FALSE,아들 놀다 곳 놀다 팔 잡다,아들이 놀이터에서 놀다가 팔이 부러졌어요.
KETI-Emergency,,,FALSE,발 발목 발바닥,발목을 접질렀어요.
KETI-Emergency,,,FALSE,집 전기 그치다,집에 전기가 나갔어요.
KETI-Emergency,,,FALSE,먹다 음식 베다,음식을 하다가 손가락을 칼에 베였어요.
KETI-Emergency,,,FALSE,허리 아프다 일어서다 불가능,허리가 아파서 일어날 수 없어요.
KETI-Emergency,,,FALSE,누가 칼 살인 피 흐르다,어떤 사람이 칼에 찔려서 피를 많이 흘리고 있어요.
KETI-Emergency,,,FALSE,아기 벌 크다 침 팔 주사 쓰러지다,아이가 말벌에 쏘여서 기절했어요.
KETI-Emergency,,,FALSE,무릎 인대 상처,무릎 인대를 다친 것 같아요.
KETI-Emergency,,,FALSE,엄마 콩 간 병 쓰러지다,엄마가 신장병에 있는데 쓰러지셨어요.
KETI-Emergency,,,FALSE,여기 곳 서대문구 홍제동 한양 아파트 집 위 곳 사람 추락 목적 서다,여기 서대문구 홍제동 한양아파트인데 옥상에서 사람이 떨어지려고해요.
KETI-Emergency,,,FALSE,동생 문 손 끼다,동생이 문틈에 손이 끼었어요.
KETI-Emergency,,,FALSE,아프다,너무 아파요.
KETI-Emergency,,,FALSE,빨리 오다 부탁,빨리 와주세요.
KETI-Emergency,,,FALSE,누가 칼 협박 가지다,어떤 사람이 칼로 위협하고 있어요.
KETI-Emergency,,,FALSE,술 취하다 나무 막대 사람 때리다 ,술 취한 사람이 방망이로 사람들을 때리고 있어요.
NIA-2020,1,,FALSE,왼쪽,왼쪽입니다.
NIA-2020,2,X,TRUE,왼쪽,왼쪽이요?
NIA-2020,3,,FALSE,오른쪽,오른쪽입니다.
NIA-2020,4,X,TRUE,오른쪽,오른쪽이요?
NIA-2020,5,,FALSE,여기,이것입니다.
NIA-2020,6,X,TRUE,여기,이것인가요?
NIA-2020,7,,FALSE,저기,저것입니다.
NIA-2020,8,,TRUE,저기,저것인가요?
NIA-2020,9,,FALSE,운전 천천히,천천히 가주세요.
NIA-2020,10,,TRUE,운전 천천히,천천히 가드릴까요?
NIA-2020,11,,FALSE,운전 빨리,빨리 가주세요.
NIA-2020,12,,TRUE,가다 빨리,빨리 가드릴까요?
NIA-2020,13,,FALSE,시간 급하다,제가 많이 급합니다.
NIA-2020,14,,TRUE,시간 급하다,많이 급하세요?
NIA-2020,15,,FALSE,급하다,제가 좀 급합니다.
NIA-2020,16,X,TRUE,급하다,급하세요?
NIA-2020,17,,FALSE,약속 늦다,제가 약속시간에 늦었습니다.
NIA-2020,18,,TRUE,약속 늦다,약속시간에 늦으셨나요?
NIA-2020,19,,FALSE,나,접니다
NIA-2020,20,X,TRUE,나,저요?
NIA-2020,21,,FALSE,당신,당신입니다.
NIA-2020,22,,TRUE,당신,그쪽이세요?
NIA-2020,23,,FALSE,그남자 맞다,이 분입니다.
NIA-2020,24,,TRUE,그남자 맞다,이 분이죠?
NIA-2020,25,,FALSE,말하다 잘못,제가 잘못 알려드렸습니다.
NIA-2020,26,,TRUE,말해주다 잘못,잘못 알려주신건가요?
NIA-2020,27,,FALSE,위험,위험합니다.
NIA-2020,28,X,TRUE,위험,위험한가요?
NIA-2020,29,,FALSE,항상,늘 그렇습니다.
NIA-2020,30,X,TRUE,항상,늘 그런가요?
NIA-2020,31,,FALSE,원래,원래 그렇습니다.
NIA-2020,32,X,TRUE,원래,원래 그런가요?
NIA-2020,33,,FALSE,오천원,오천원입니다.
NIA-2020,34,X,TRUE,오천원,오천원인가요?
NIA-2020,35,,FALSE,만원,만원입니다.
NIA-2020,36,X,TRUE,만원,만원인가요?
NIA-2020,37,,FALSE,택시 기본 오천원,기본 요금은 오천원입니다.
NIA-2020,38,,TRUE,택시 기본 돈 얼마,기본 요금은 얼마인가요?
NIA-2020,39,,FALSE,택시 기본 만원,기본 요금은 만원입니다.
NIA-2020,40,,TRUE,택시 기본 만원,기본 요금이 만원인가요?
NIA-2020,41,,FALSE,돈 얼마 맞다 확인,요금 확인해주세요.
NIA-2020,42,,TRUE,돈 얼마 맞다 확인,요금을 확인하셨어요?
NIA-2020,43,,FALSE,밤 12시 후 돈 추가,심야 할증 요금이 적용됩니다.
NIA-2020,44,,TRUE,밤 12시 후 돈 추가,심야 할증 요금이 적용되나요?
NIA-2020,45,,FALSE,고속 돈주다,고속도로 통행료를 내야 합니다.
NIA-2020,46,,TRUE,고속 돈주다,고속도로 통행료를 내야 하나요?
NIA-2020,47,,FALSE,택시 돈 되다,현금도 됩니다.
NIA-2020,48,,TRUE,택시 돈 되다,현금도 되나요?
NIA-2020,49,,FALSE,장애인복지카드,장애인 복지 카드입니다.
NIA-2020,50,X,TRUE,장애인복지카드,장애인 복지 카드인가요?
NIA-2020,51,,FALSE,어린이교통카드,아이 교통 카드입니다.
NIA-2020,52,,TRUE,어린이교통카드 되다,아이 교통 카드도 되나요?
NIA-2020,53,,FALSE,카드 1회,1회용 카드입니다.
NIA-2020,54,,TRUE,카드 1회 되다,1회용 카드도 되나요?
NIA-2020,55,,FALSE,지금 카드 충전,지금 카드를 충전하겠습니다.
NIA-2020,56,,TRUE,지금 카드 충전 가능,지금 카드를 충전할 수 있나요?
NIA-2020,57,,FALSE,돈받다,요금을 지불하셔야 합니다.
NIA-2020,58,,TRUE,돈받다 끝,요금을 지불하셨나요?
NIA-2020,59,,FALSE,표 사다,승차권을 구입하셔야 합니다.
NIA-2020,60,,TRUE,표 사다,승차권을 구입하셨나요?
NIA-2020,61,,FALSE,돈 계산 잘못하다,계산을 잘못하였습니다.
NIA-2020,62,,TRUE,돈 계산 틀리다,요금이 맞지 않나요?
NIA-2020,63,,FALSE,지하철 시간 일정하다 위아래,열차 배차 시간이 맞지 않습니다.
NIA-2020,64,,TRUE,지하철 시간 딱,열차 배차 시간이 일정한가요?
NIA-2020,65,,FALSE,사람 계산 잘못하다,인원 수가 맞지 않습니다.
NIA-2020,66,,TRUE,사람 계산 틀리다,인원 수가 맞지 않나요?
NIA-2020,67,,FALSE,다시,다시 해보세요.
NIA-2020,68,X,TRUE,다시,다시 해볼까요?
NIA-2020,69,,FALSE,1호,1호선입니다.
NIA-2020,70,X,TRUE,1호,1호선인가요?
NIA-2020,71,,FALSE,2호,2호선입니다.
NIA-2020,72,X,TRUE,2호,2호선인가요?
NIA-2020,73,,FALSE,9호,9호선입니다.
NIA-2020,74,X,TRUE,9호,9호선인가요?
NIA-2020,75,,FALSE,여기 명동 지하철,여기는 명동역입니다.
NIA-2020,76,,TRUE,여기 명동 지하철,여기가 명동역인가요?
NIA-2020,77,,FALSE,여기 신촌 지하철,여기는 신촌역입니다.
NIA-2020,78,,TRUE,여기 신촌 지하철,여기가 신촌역인가요?
NIA-2020,79,,FALSE,여기 서울 지하철,여기는 서울역입니다.
NIA-2020,80,,TRUE,여기 서울 지하철,여기가 서울역인가요?
NIA-2020,81,,FALSE,여기 송파 지하철 맞다,여기는 송파역입니다.
NIA-2020,82,,TRUE,여기 송파 지하철 맞다,여기가 송파역인가요?
NIA-2020,83,,FALSE,여기 1호 되다,여기서 1호선을 탈 수 있습니다.
NIA-2020,84,,TRUE,여기 1호 되다,여기서 1호선을 탈 수 있나요?
NIA-2020,85,,FALSE,여기 기차 되다,여기서 기차를  탈 수 있습니다.
NIA-2020,86,,TRUE,여기 기차 되다,여기서 기차를  탈 수 있나요?
NIA-2020,87,,FALSE,택시 여기 되다,여기서 택시를 탈 수 있습니다.
NIA-2020,88,,TRUE,택시 여기 되다,여기서 택시를 탈 수 있나요?
NIA-2020,89,,FALSE,도착 곳 명동 지하철,목적지는 명동역입니다.
NIA-2020,90,,TRUE,도착 곳 명동 지하철,목적지가 명동역인가요?
NIA-2020,91,,FALSE,하나 다음 도착,목적지는 다음 역입니다.
NIA-2020,92,,TRUE,하나 다음 내리다,다음 역에서 내리시나요?
NIA-2020,93,,FALSE,도착 곳 국립박물관,목적지는 국립 박물관입니다.
NIA-2020,94,,TRUE,도착 곳 국립박물관,목적지는 국립 박물관인가요?
NIA-2020,95,,FALSE,지하철 빨리 오다오다,이번 열차는 급행 열차입니다.
NIA-2020,96,,TRUE,지하철 빨리 오다오다,이번 열차는 급행 열차인가요?
NIA-2020,97,,FALSE,지하철오다 중,열차가 들어오고 있습니다.
NIA-2020,98,,TRUE,지하철오다 아직,열차가 아직 안 들어오나요?
NIA-2020,99,,FALSE,4사람,모두 4명입니다.
NIA-2020,100,X,TRUE,4사람,모두 4명인가요?
NIA-2020,101,,FALSE,지하철 곳 번호 1,1번 승강장입니다.
NIA-2020,102,,TRUE,지하철 곳 1 무엇,1번 승강장인가요?
NIA-2020,103,,FALSE,지하철 곳 12,12번 승강장입니다.
NIA-2020,104,,TRUE,지하철 곳 12 무엇,12번 승강장인가요?
NIA-2020,105,,FALSE,1호 맞다,1호선이 맞습니다.
NIA-2020,106,,TRUE,1호 맞다,1호선이 맞나요?
NIA-2020,107,,FALSE,지하철 곳 명동 맞다,명동역이 맞습니다.
NIA-2020,108,,TRUE,지하철 곳 명동 맞다,명동역이 맞나요?
NIA-2020,109,,FALSE,가능,가능합니다.
NIA-2020,110,X,TRUE,가능,가능한가요?
NIA-2020,111,,FALSE,안되다,안 됩니다.
NIA-2020,112,X,TRUE,안되다,안되나요?
NIA-2020,113,,FALSE,타다,타세요.
NIA-2020,114,X,TRUE,타다,탈까요?
NIA-2020,115,,FALSE,1호 곳,1호선을 타는 곳입니다.
NIA-2020,116,,TRUE,1호 곳 무엇,1호선을 타는 곳은 어디인가요?
NIA-2020,117,,FALSE,신분당 곳,신분당선을 타는 곳입니다.
NIA-2020,118,,TRUE,신분당 곳 무엇,신분당선을 타는 곳은 어디인가요?
NIA-2020,119,,FALSE,내리다,내리세요.
NIA-2020,120,X,TRUE,내리다,내릴까요?
NIA-2020,121,,FALSE,1호 갈아타다 목적,1호선으로 환승하려고 합니다.
NIA-2020,122,,TRUE,1호 갈아타다 목적 곳곳,1호선 환승하는 곳이 어디인가요?
NIA-2020,123,,FALSE,9호 갈아타다 목적,9호선으로 환승하려고 합니다.
NIA-2020,124,,TRUE,9호 갈아타다 목적 곳곳,9호선 환승하는 곳이 어디인가요?
NIA-2020,125,,FALSE,도착,도착했습니다.
NIA-2020,126,X,TRUE,도착,도착했나요?
NIA-2020,127,,FALSE,시간 지연되다,지연되었습니다.
NIA-2020,128,,TRUE,시간 지연되다,지연되었나요?
NIA-2020,129,,FALSE,시간 지연되다 5분,5분 지연되었습니다.
NIA-2020,130,,TRUE,지연되다 5분,5분 지연되었나요?
NIA-2020,131,,FALSE,도착 아직,아직 도착 안 했습니다.
NIA-2020,132,,TRUE,도착 아직,아직 도착 안 했나요?
NIA-2020,133,,FALSE,있다,있습니다.
NIA-2020,134,X,TRUE,있다,있나요?
NIA-2020,135,,FALSE,짐 있다,짐이 있습니다.
NIA-2020,136,,TRUE,짐 있다,짐이 있으세요?
NIA-2020,137,,FALSE,자전거 있다,자전거가 있습니다.
NIA-2020,138,,TRUE,자전거 있다,자전거가 있으세요?
NIA-2020,139,,FALSE,약 가깝다,근처에 약국이 있습니다.
NIA-2020,140,,TRUE,약 가깝다,근처에 약국이 있나요?
NIA-2020,141,,FALSE,택시 곳 가깝다,근처에 택시 승강장이 있습니다.
NIA-2020,142,,TRUE,택시 곳 가깝다,근처에 택시 승강장이 있나요?
NIA-2020,143,,FALSE,버스 곳 가깝다,근처에 버스 정류장이 있습니다.
NIA-2020,144,,TRUE,버스 곳 가깝다,근처에 버스 정류장이 있나요?
NIA-2020,145,,FALSE,없다,없습니다.
NIA-2020,146,X,TRUE,없다,없으세요?
NIA-2020,147,,FALSE,짐 없다,짐이 없습니다.
NIA-2020,148,,TRUE,짐 없다,짐은 없으세요?
NIA-2020,149,,FALSE,물건 없다,물건이 없습니다.
NIA-2020,150,,TRUE,물건 없다,물건은 없으세요?
NIA-2020,151,,FALSE,짐 차 트렁크열다 나르다,트렁크에 짐을 넣겠습니다.
NIA-2020,152,,TRUE,짐 차 트렁크열다 나르다,트렁크에 짐을 넣을까요?
NIA-2020,153,,FALSE,뒤 트렁크닫다,트렁크 좀 닫아주세요.
NIA-2020,154,,TRUE,뒤 트렁크닫다,트렁크 좀 닫아드릴까요?
NIA-2020,155,,FALSE,설명 천천히,천천히 설명해주세요.
NIA-2020,156,,TRUE,설명 다시,다시 설명해드릴까요?
NIA-2020,157,,FALSE,설명 어렵다,설명이 어렵습니다.
NIA-2020,158,,TRUE,설명 어렵다,설명이 어려우신가요?
NIA-2020,159,,FALSE,설명 다시,다시 설명해주세요.
NIA-2020,160,,TRUE,힘들다,힘드세요?
NIA-2020,161,,FALSE,도착 알려주다,도착하면 알려주세요.
NIA-2020,162,,TRUE,도착 알려주다,도착하면 알려드릴까요?
NIA-2020,163,,FALSE,핸드폰 번호,휴대폰 번호입니다.
NIA-2020,164,,TRUE,핸드폰 번호 필요,휴대폰 번호를 알려드릴까요?
NIA-2020,165,,TRUE,지하철 계단 번호,몇 번 출구인가요?
NIA-2020,166,,TRUE,지하철 지하위 곳곳,출구가 어디에 있나요?
NIA-2020,167,,TRUE,버스 번호,몇 번 버스인가요?
NIA-2020,168,,TRUE,버스 타다 곳곳,버스정류장이 어디에 있나요?
NIA-2020,169,,FALSE,신분증,주민등록증입니다.
NIA-2020,170,X,TRUE,신분증,주민등록증 있으세요?
NIA-2020,171,,FALSE,표,승차권입니다.
NIA-2020,172,X,TRUE,표,승차권 있으세요?
NIA-2020,173,,FALSE,잠깐 기다리다,잠시만 기다려주세요.
NIA-2020,174,,TRUE,여기 기다리다,여기서 기다릴까요?
NIA-2020,175,,FALSE,여기 있다,여기에 계세요.
NIA-2020,176,,TRUE,여기 있다,여기에 있을까요?
NIA-2020,177,,FALSE,곳 바꾸다,목적지를 변경하고 싶습니다.
NIA-2020,178,,TRUE,곳 바꾸다,목적지를 변경하시겠습니까?
NIA-2020,179,,FALSE,한달 누적사용 내역 보다 원하다,정기권 사용 내역을 알고 싶습니다.
NIA-2020,180,,TRUE,한달 누적사용 내역 보여주다,정기권 사용 내역을 보여드릴까요?
NIA-2020,181,,FALSE,도움받다,도와주세요.
NIA-2020,182,,TRUE,도움받다 가능,도와주실 수 있으세요?
NIA-2020,183,,FALSE,실수하다,실수입니다.
NIA-2020,184,X,TRUE,실수하다,실수인가요?
NIA-2020,185,,FALSE,발생하다,사고가 났습니다.
NIA-2020,186,X,TRUE,발생하다,사고가 났나요?
NIA-2020,187,,FALSE,괜찮다,괜찮아요.
NIA-2020,188,X,TRUE,괜찮다,괜찮으세요?
NIA-2020,189,,FALSE,좋다,좋습니다.
NIA-2020,190,X,TRUE,좋다,좋으세요?
NIA-2020,191,,FALSE,충분하다,만족합니다.
NIA-2020,192,X,TRUE,충분하다,만족하세요?
NIA-2020,193,,FALSE,확인,확인하겠습니다.
NIA-2020,194,,TRUE,확인 가능,확인 할 수 있을까요?
NIA-2020,195,,FALSE,모르다,모르겠습니다.
NIA-2020,196,X,TRUE,알다,아시겠어요?
NIA-2020,197,,FALSE,필요,필요합니다.
NIA-2020,198,X,TRUE,필요,필요하세요?
NIA-2020,199,,FALSE,택시 문자보내다 나,제가 콜을 불렀습니다.
NIA-2020,200,,TRUE,택시 문자받다,콜을 부르셨나요?
NIA-2020,201,,FALSE,역무원 부르다,제가 역무원을 불렀습니다.
NIA-2020,202,,TRUE,역무원 부르다,역무원을 불러드릴까요?
NIA-2020,203,,FALSE,경찰 부르다,제가 경찰을 불렀습니다.
NIA-2020,204,,TRUE,경찰 부르다,경찰을 불러드릴까요?
NIA-2020,205,,FALSE,마포대교 가다,마포대교로 건너가주세요.
NIA-2020,206,,TRUE,마포대교 가다,마포대교로 건너가드릴까요?
NIA-2020,207,,FALSE,잠실대교 가다,잠실대교로 건너가주세요.
NIA-2020,208,,TRUE,잠실대교 가다,잠실대교로 건너가드릴까요?
NIA-2020,209,,FALSE,빨리,빨리 가주세요.
NIA-2020,210,X,TRUE,빨리,빨리 가드릴까요?
NIA-2020,211,,FALSE,약 보다 차내리다,약국 좀 들렀다가주세요.
NIA-2020,212,,TRUE,차내리다 곳곳,어디에서 내려드릴까요?
NIA-2020,213,,FALSE,어린이집 보다 차내리다,어린이집 좀 들렀다가주세요.
NIA-2020,214,,TRUE,어린이집 보다 차내리다,어린이집이 보이면 내려드릴까요?
NIA-2020,215,,FALSE,학교 보다 차내리다,학교 좀 들렀다가주세요.
NIA-2020,216,,TRUE,학교 보다 차내리다,학교가 보이면 내려드릴까요?
NIA-2020,217,,FALSE,사거리 건너다 신호등  차내리다,사거리 지나 횡단보도 앞에서 세워주세요.
NIA-2020,218,,TRUE,사거리 건너다,사거리 지날까요?
NIA-2020,219,,FALSE,사거리 우회전,사거리에서 우회전 해주세요.
NIA-2020,220,,TRUE,사거리 우회전,사거리에서 우회전 해드릴까요?
NIA-2020,221,,FALSE,사거리 전 버스 곳 차내리다,사거리 전 버스정류장 앞에 세워주세요.
NIA-2020,222,,FALSE,사거리 전 차내리다,사거리 못가서 내려주세요.
NIA-2020,223,,TRUE,지하철 철로 물건 떨어지다,선로에 물건을 떨어뜨리셨나요?
NIA-2020,224,,TRUE,신호등 다음 차내리다,저기 신호등 건너서 세워드릴까요?
NIA-2020,225,,FALSE,신호등 곳 차내리다,저기 신호등 앞에 세워주세요.
NIA-2020,226,,TRUE,신호등 곳 차내리다,저기 신호등 앞에 세워드릴까요?
NIA-2020,227,,FALSE,우회전 차내리다,우회전하고 내려주세요.
NIA-2020,228,,TRUE,우회전 차내리다,우회전해서 내려드릴까요?
NIA-2020,229,,FALSE,좌회전 차내리다,좌회전하고 내려주세요.
NIA-2020,230,,TRUE,좌회전 차내리다,좌회전해서 내려드릴까요?
NIA-2020,231,,FALSE,신호등 횡단보도 건너다,횡단보도 지나서 내려주세요.
NIA-2020,232,,TRUE,신호등 횡단보도 여기,횡단보도 지나서요?
NIA-2020,233,,FALSE,지름길 차내리다,골목 들어가서 세워주세요.
NIA-2020,234,,TRUE,지름길 차내리다,골목 들어가서 내려드릴까요?
NIA-2020,235,,FALSE,지름길 내리다,골목 들어가서 세워주세요.
NIA-2020,236,,TRUE,지름길 내리다,골목 들어가서 내려드릴까요?
NIA-2020,237,,TRUE,롯데월드 가다 목적 지하철 번호,롯데월드로 가려면 몇 호선을 타야하나요?
NIA-2020,238,,TRUE,서울역 가다 목적 지하철 번호,서울역에 가려면 몇 호선을 타야하나요?
NIA-2020,239,,TRUE,국립박물관 가다 목적 지하철 번호,국립박물관에 가려면 몇번 출구로 나가야 하나요?
NIA-2020,240,,TRUE,강남 가다 목적 지하철 갈아타다 몇호,강남역으로 가려면 몇호선으로 갈아타야 하나요?
NIA-2020,241,,TRUE,서울역 가다 목적 지하철 갈아타다 몇호,서울역으로 가려면 몇호선으로 갈아타야 하나요?
NIA-2020,242,,FALSE,지하철 계단 곳 12,12번 출구입니다.
NIA-2020,243,,TRUE,지하철 계단 12 무엇,12번 출구는 어디에 있나요?
NIA-2020,244,,FALSE,종로 가다,종로역입니다.
NIA-2020,245,,TRUE,종로 가다 방법,종로역으로 어떻게 가나요?
